Reputation,so it goes…,Bsus4,F C Gm B,Bsus4 Asus2 G Asus2,G A G A,G A G A,Asus2 Bsus4 Asus2 G,NONE,FALSE,FALSE,so it goes…,167,
Reputation,gorgeous,C,Em7 A D7 G,F7 Em F G,C Am F G,NONE,F Am G Dm,C C Am F,FALSE,FALSE,gorgeous,179,
Reputation,don't blame me,CHORUS,G C Em C,Am G F7 G,Am G F C,NONE,Am G F C,NONE,FALSE,FALSE,dont blame me,168,
Reputation,delicate,CHORUS,Em D Em D,NONE,C Dm Am F,C Dm Am F,NONE,C Dm Am F,FALSE,FALSE,delicate,173,
Reputation,end game,CHORUS,Bm D G,F C Dm Em,F C G F,NONE,NONE,NONE,FALSE,FALSE,end game,172,
Reputation,ready for it?,Em Em Em Em,C D G,Em Em Em,G Am Em C,Em C Em C,C G Am Em,NONE,FALSE,FALSE,ready for it?,175,
Reputation,dancing with our hands tied,Fm Cm7 G# A#sus2,Bb E B Dbm,Fm Cm7 G# G#,Fm Cm7 G# A#sus2,NONE,Cm G# A#sus2 Fm,Cm7 G# A#sus2 Cm,FALSE,FALSE,dancing with our hands tied,171,
Reputation,i did something bad,Gbm,A Db F#m Db,Gbm E D Bm E,Gbm Bb D Bm,NONE,Dbm D Bm E,Gbm Bb D Bm E,FALSE,FALSE,i did something bad,170,
Reputation,getaway car,N.C,E Asus2 B C#m,C G Dm F,C Dm F,NONE,D A Em Gm,D A Em G,FALSE,FALSE,getaway car,180,
Reputation,new year's day,NONE,F C,NONE,C Am F C,C Am F G,C Am F G,C Am F G,TRUE,FALSE,new years day,174,
Reputation,king of my heart,NONE,Dm G C F,C G Dm F,C G Dm F,C G Dm F,G Dm F C,NONE,FALSE,FALSE,king of my heart,177,
Reputation,dress,NONE,C Am F G,F Am G C,F Am G C,NONE,F Am G C ,F Am G C,FALSE,FALSE,dress,169,
